,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1,minecraft:gray_glazed_terracotta,minecraft:gray_concrete,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:polished_diorite,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool
2,minecraft:light_gray_wool,minecraft:gray_glazed_terracotta,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:gray_wool,minecraft:gray_wool,minecraft:white_concrete,minecraft:diorite,minecraft:gray_concrete,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:deepslate_lapis_ore,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:diorite,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool
3,minecraft:gray_glazed_terracotta,minecraft:deepslate_coal_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:gray_concrete,minecraft:polished_diorite,minecraft:diorite,minecraft:black_wool,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:deepslate_lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:clay,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool
4,minecraft:gray_glazed_terracotta,minecraft:gray_glazed_terracotta,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:acacia_wood,minecraft:diorite,minecraft:diorite,minecraft:black_wool,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool
5,minecraft:gray_glazed_terracotta,minecraft:gray_glazed_terracotta,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:orange_glazed_terracotta,minecraft:polished_diorite,minecraft:light_gray_wool,minecraft:black_wool,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:gray_concrete,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:lapis_ore,minecraft:polished_andesite,minecraft:polished_andesite,minecraft:white_concrete,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:diorite,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool
6,minecraft:gray_glazed_terracotta,minecraft:gray_glazed_terracotta,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:gold_ore,minecraft:light_gray_glazed_terracotta,minecraft:light_gray_wool,minecraft:black_wool,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:white_concrete,minecraft:white_wool,minecraft:white_concrete,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_concrete,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool
7,minecraft:gray_glazed_terracotta,minecraft:gray_glazed_terracotta,minecraft:obsidian,minecraft:lapis_ore,minecraft:deepslate_lapis_ore,minecraft:deepslate_gold_ore,minecraft:light_gray_glazed_terracotta,minecraft:light_gray_wool,minecraft:black_wool,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:white_wool,minecraft:white_concrete,minecraft:white_concrete,minecraft:polished_diorite,minecraft:white_concrete,minecraft:pink_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:clay,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_concrete,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_concrete
8,minecraft:gray_glazed_terracotta,minecraft:gray_glazed_terracotta,minecraft:obsidian,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:gray_concrete,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:white_concrete,minecraft:white_concrete,minecraft:polished_diorite,minecraft:white_concrete,minecraft:white_wool,minecraft:gray_wool,minecraft:white_wool,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:polished_andesite,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_wool,minecraft:white_concrete,minecraft:stone_bricks,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:dark_oak_wood
9,minecraft:gray_glazed_terracotta,minecraft:gray_glazed_terracotta,minecraft:obsidian,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:light_gray_glazed_terracotta,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:deepslate_lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:polished_diorite,minecraft:white_concrete,minecraft:white_wool,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:clay,minecraft:clay,minecraft:white_wool,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:green_terracotta,minecraft:gray_concrete,minecraft:gray_concrete
10,minecraft:gray_glazed_terracotta,minecraft:gray_glazed_terracotta,minecraft:gray_concrete,minecraft:obsidian,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:deepslate_lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:clay,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:lapis_ore,minecraft:lapis_ore,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:clay,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:white_concrete,minecraft:black_wool,minecraft:white_concrete,minecraft:polished_diorite,minecraft:polished_diorite,minecraft:polished_andesite,minecraft:gray_glazed_terracotta,minecraft:obsidian,minecraft:black_wool,minecraft:gray_concrete,minecraft:white_wool,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:gray_concrete,minecraft:dark_oak_wood,minecraft:gray_concrete,minecraft:dark_oak_wood,minecraft:gray_concrete,minecraft:gray_concrete
